Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Lineage,Location,Host,Isolate_Submitter,Submitting_Lab,Submitting_Sample_Id,Authors,Publication,Originating_Lab,Originating_Sample_Id,Collection_Date
EPI_ISL_357605,EPI1447528 | 04S059,a/poitiers/2168/2003,A / H1N1,seasonal,Europe / France / Poitiers,Human,Naomi Komadina (WHO Collaborating Centre for Reference and Research on Influenza /  ),WHO Collaborating Centre for Reference and Research on Influenza,0402022 VW19949,"Iannello,P; Komadina,N",,Institut Federatif de Recherche Lyon-Est,,11/18/03
EPI_ISL_357583,EPI1447485 | 03S473,a/malaysia/643/2003,A / H1N1,seasonal,Asia / Malaysia,Human,Naomi Komadina (WHO Collaborating Centre for Reference and Research on Influenza /  ),WHO Collaborating Centre for Reference and Research on Influenza,0309674 VW19260,"Iannello,P; Komadina,N",,Institut Penyelidikan Perubatan,FL 643/03,7/13/03
EPI_ISL_208713,EPI702627 | A/Thailand/SN07086/2007,a/thailand/sn07086/2007,A / H1N1,,Asia / Thailand,Human,Initial import,Other Database Import,,"Khemnu,N.; Gaywee,J.; Bodhidatta,L.; Wacharapluesadee,S.; Sirisopana,N.; Swierczewski,B.E.; Mason,C.J.",,,,11/7/07
EPI_ISL_194240,EPI635457 | A/Egypt/358(TA)/2008,a/egypt/358-ta-/2008,A / H1N1,,Africa / Egypt,Human,Initial import,Other Database Import,,"Schweiger,B.; Thabit,A.G.; Badary,M.S.; Brune,W.; Osmann,A.H.; Embarek Mohamed,M.S.",,,,1/28/08
EPI_ISL_188368,EPI609842 | A/Thailand/CU68/2006,a/thailand/cu68/2006,A / H1N1,,Asia / Thailand,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2006
EPI_ISL_188365,EPI609839 | A/Guangzhou/506/2006,a/guangzhou/506/2006,A / H1N1,,Asia / China,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2006
EPI_ISL_188310,EPI609784 | A/New York/343/2001,a/new-york/343/2001,A / H1N1,,North America / United States / New York,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/10/01
EPI_ISL_188302,EPI609776 | A/Chonnam/07/2002,a/chonnam/07/2002,A / H1N1,,"Asia / Korea, Republic of",Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2002
EPI_ISL_188247,EPI609720 | A/New York/308/2001,a/new-york/308/2001,A / H1N1,,North America / United States / New York,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2/12/01
EPI_ISL_188230,EPI609703 | A/Sydney/581/2007,a/sydney/581/2007,A / H1N1,,Oceania / Australia / New South Wales,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,9/8/07
EPI_ISL_188224,EPI609697 | A/Tumbes/AST451/2007,a/tumbes/ast451/2007,A / H1N1,,South America / Peru,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2007
EPI_ISL_188210,EPI609683 | A/Wyoming/14/2003,a/wyoming/14/2003,A / H1N1,,North America / United States / Wyoming,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,4/2/03
EPI_ISL_188181,EPI609654 | A/Niedersachsen/218/2005,a/niedersachsen/218/2005,A / H1N1,,Europe / Germany,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2005
EPI_ISL_188176,EPI609649 | A/Yamagata/137/2008,a/yamagata/137/2008,A / H1N1,,Asia / Japan / Yamagata,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/26/08
EPI_ISL_188163,EPI609636 | A/Bangladesh/9067/2008,a/bangladesh/9067/2008,A / H1N1,,Asia / Bangladesh,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,8/2/08
EPI_ISL_188153,EPI609626 | A/Canterbury/60/2000,a/canterbury/60/2000,A / H1N1,,Oceania / New Zealand,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,9/6/00
EPI_ISL_188137,EPI609610 | A/England/26/2008,a/england/26/2008,A / H1N1,,Europe / United Kingdom,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/9/08
EPI_ISL_188060,EPI609533 | A/Japan/AF1272/2008,a/japan/af1272/2008,A / H1N1,,Asia / Japan,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/22/08
EPI_ISL_188056,EPI609529 | A/Brisbane/193/2004,a/brisbane/193/2004,A / H1N1,,Oceania / Australia / Queensland,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/23/04
EPI_ISL_188030,EPI609503 | A/Cambodia/S169/2008,a/cambodia/s169/2008,A / H1N1,,Asia / Cambodia,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,9/6/08
EPI_ISL_188014,EPI609487 | A/Philippines/906/2006,a/philippines/906/2006,A / H1N1,,Asia / Philippines,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,5/30/06
EPI_ISL_187997,EPI609470 | A/Brisbane/1/2008,a/brisbane/1/2008,A / H1N1,,Oceania / Australia / Queensland,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/3/08
EPI_ISL_187969,EPI609442 | A/Chile/9848/2002,a/chile/9848/2002,A / H1N1,,South America / Chile,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,7/17/02
EPI_ISL_187906,EPI609379 | A/New York/444/2001,a/new-york/444/2001,A / H1N1,,North America / United States / New York,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/23/01
EPI_ISL_187888,EPI609361 | A/Singapore/72/2006,a/singapore/72/2006,A / H1N1,,Asia / Singapore,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,8/21/06
EPI_ISL_187877,EPI609350 | A/Memphis/1/2001,a/memphis/1/2001,A / H1N1,,North America / United States / Tennessee,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2001
EPI_ISL_187852,EPI609325 | A/Wisconsin/25/2003,a/wisconsin/25/2003,A / H1N1,,North America / United States / Wisconsin,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,3/21/03
EPI_ISL_187851,EPI609324 | A/Thailand/CU67/2006,a/thailand/cu67/2006,A / H1N1,,Asia / Thailand,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2006
EPI_ISL_187841,EPI609314 | A/Peru/WRAIR1509P/2007,a/peru/wrair1509p/2007,A / H1N1,,South America / Peru,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2007
EPI_ISL_187834,EPI609307 | A/Paris/814/2007,a/paris/814/2007,A / H1N1,,Europe / France,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2007
EPI_ISL_187797,EPI609270 | A/Lyon/1350/2007,a/lyon/1350/2007,A / H1N1,,Europe / France,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/14/07
EPI_ISL_187777,EPI609250 | A/Indonesia/5840/2004,a/indonesia/5840/2004,A / H1N1,,Asia / Indonesia,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,3/17/04
EPI_ISL_187771,EPI609244 | A/Pune/076123/2007,a/pune/076123/2007,A / H1N1,,Asia / India,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,6/15/07
