Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Lineage,Location,Host,Isolate_Submitter,Submitting_Lab,Submitting_Sample_Id,Authors,Publication,Originating_Lab,Originating_Sample_Id,Collection_Date
EPI_ISL_279395,EPI1067555 | A/Nicaragua/5991_01/2010,a/nicaragua/5991-01/2010,A / H3N2,,North America / Nicaragua,Human,Initial import,Other Database Import,,"Wentworth,D.E.; Halpin,R.A.; Lin,X.; Bera,J.; Akopov,A.; Ransier,A.; Mohan,M.; Fedorova,N.; Tsitrin,T.; Puri,V.; Stockwell,T.; Amedeo,P.; Appalla,L.; Bishop,B.; Edworthy,P.; Gupta,N.; Hoover,J.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Alanis,R.; Balmaseda,A.; Bao,Y.; Sanders,R.; Zhdanov,S.; Kiryutin,B.; Lipman,D.J.; Tatusova,T.; Gordon,A.",,,,5/30/10
EPI_ISL_279393,EPI1067539 | A/Nicaragua/5864_01/2010,a/nicaragua/5864-01/2010,A / H3N2,,North America / Nicaragua,Human,Initial import,Other Database Import,,"Wentworth,D.E.; Halpin,R.A.; Lin,X.; Bera,J.; Akopov,A.; Ransier,A.; Mohan,M.; Fedorova,N.; Tsitrin,T.; Puri,V.; Stockwell,T.; Amedeo,P.; Appalla,L.; Bishop,B.; Edworthy,P.; Gupta,N.; Hoover,J.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Alanis,R.; Balmaseda,A.; Bao,Y.; Sanders,R.; Zhdanov,S.; Kiryutin,B.; Lipman,D.J.; Tatusova,T.; Gordon,A.",,,,6/2/10
EPI_ISL_278938,EPI1064345 | A/Parma/172/2011,a/parma/172/2011,A / H3N2,,Europe / Italy,Human,Initial import,Other Database Import,,"Chiapponi,C.; Ebranati,E.; Pariani,E.; Faccini,S.; Luppi,A.; Baioni,L.; Manfredi,R.; Carta,V.; Merenda,M.; Affanni,P.; Colucci,M.E.; Veronesi,L.; Zehender,G.; Foni,E.",,,,2011
EPI_ISL_278401,EPI1061765 | A/Korea/KUMC-GR437/2011,a/korea/kumc-gr437/2011,A / H3N2,,"Asia / Korea, Republic of",Human,Initial import,Other Database Import,,"Kim,J.-K.; Song,E.-J.",,,,12/1/11
EPI_ISL_278399,EPI1061763 | A/Korea/KUMC-GR281/2011,a/korea/kumc-gr281/2011,A / H3N2,,"Asia / Korea, Republic of",Human,Initial import,Other Database Import,,"Kim,J.-K.; Song,E.-J.",,,,12/1/11
EPI_ISL_278373,EPI1061737 | A/Korea/KUMC-GR18/2011,a/korea/kumc-gr18/2011,A / H3N2,,"Asia / Korea, Republic of",Human,Initial import,Other Database Import,,"Kim,J.-K.; Song,E.-J.",,,,12/1/11
EPI_ISL_263132,EPI996245 | A/Porto Alegre/LACENRS-557/2011,a/porto-alegre/lacenrs-557/2011,A / H3N2,,South America / Brazil,Human,Initial import,Other Database Import,,,,,,6/30/11
EPI_ISL_244586,EPI895381 | A/Jordan/A0352/2011,a/jordan/a0352/2011,A / H3N2,,Asia / Jordan,Human,Initial import,Other Database Import,,"El Shesheny,R.; Halasa,N.B.; Kayali,G.; Khuri-Bulos,N.",,,,12/26/11
EPI_ISL_244581,EPI895376 | A/Jordan/C2307/2011,a/jordan/c2307/2011,A / H3N2,,Asia / Jordan,Human,Initial import,Other Database Import,,"El Shesheny,R.; Halasa,N.B.; Kayali,G.; Khuri-Bulos,N.",,,,11/12/11
EPI_ISL_235300,EPI842525 | A/Piura/FPP00919/2011,a/piura/fpp00919/2011,A / H3N2,,South America / Peru,Human,Initial import,Other Database Import,,"Maljkovic Berry,I.; Melendrez,M.C.; Li,T.; Hawksworth,A.W.; Brice,G.T.; Blair,P.J.; Halsey,E.S.; Williams,M.; Fernandez,S.; Yoon,I.-K.; Edwards,L.D.; Kuschner,R.; Lin,X.; Thomas,S.J.; Jarman,R.G.; Wlliams,M.; Gomez,J.L.; Sanchez,F.; Lorenzana,I.; Laguna-Torres,A.V.",,,,10/25/11
EPI_ISL_235297,EPI842522 | A/Tegucigalpa/FHT00191/2011,a/tegucigalpa/fht00191/2011,A / H3N2,,North America / Honduras,Human,Initial import,Other Database Import,,"Maljkovic Berry,I.; Melendrez,M.C.; Li,T.; Hawksworth,A.W.; Brice,G.T.; Blair,P.J.; Halsey,E.S.; Williams,M.; Fernandez,S.; Yoon,I.-K.; Edwards,L.D.; Kuschner,R.; Lin,X.; Thomas,S.J.; Jarman,R.G.; Wlliams,M.; Gomez,J.L.; Sanchez,F.; Lorenzana,I.; Laguna-Torres,A.V.",,,,10/4/11
EPI_ISL_235285,EPI842631 | A/Bangkok/FLU_PMKA1561/2011,a/bangkok/flu-pmka1561/2011,A / H3N2,,Asia / Thailand / Bangkok,Human,Initial import,Other Database Import,,"Maljkovic Berry,I.; Melendrez,M.C.; Li,T.; Hawksworth,A.W.; Brice,G.T.; Blair,P.J.; Halsey,E.S.; Williams,M.; Fernandez,S.; Yoon,I.-K.; Edwards,L.D.; Kuschner,R.; Lin,X.; Thomas,S.J.; Jarman,R.G.; Yoon,I.K.; Klungthong,C.; Chinnawirotpisan,P.",,,,8/25/11
EPI_ISL_234891,EPI839764 | A/USA/1963-5T/2011,a/usa/1963-5t/2011,A / H3N2,,North America / United States,Human,Initial import,Other Database Import,,"Yates,P.J.; Raimonde,D.S.; Zhao,H.H.; Man,C.Y.; Steel,H.M.; Mehta,N.; Peppercorn,A.F.; Nalini,N.",,,,1/22/11
EPI_ISL_220847,EPI755706 | A/Athens.GR/108/2011,a/athens-gr/108/2011,A / H3N2,,Europe / Greece / Nomos Attica,Human,Thanos Kossyvakis (Hellenic Pasteur Institute),Hellenic Pasteur Institute,,"Athanasios, Kossyvakis; Kyriaki, Tryfinopoulou; Vasiliki, Pogka; Antonios, Kalliaropoulos; Emmanouil, Antalis ; Theodoros, Lytras; Alexios-Fotios A, Mentis; Adam, Meijer; Sotirios, Tsiodras; Petros, Karakitsos; Andreas F, Mentis",,Hellenic Pasteur Institute,,1/16/11
EPI_ISL_208799,EPI703340 | A/Thailand/MR08398/2010,a/thailand/mr08398/2010,A / H3N2,,Asia / Thailand,Human,Initial import,Other Database Import,,"Khemnu,N.; Gaywee,J.; Bodhidatta,L.; Wacharapluesadee,S.; Sirisopana,N.; Swierczewski,B.E.; Mason,C.J.",,,,9/1/10
EPI_ISL_208796,EPI703316 | A/Thailand/SP07127/2008,a/thailand/sp07127/2008,A / H3N2,,Asia / Thailand,Human,Initial import,Other Database Import,,"Khemnu,N.; Gaywee,J.; Bodhidatta,L.; Wacharapluesadee,S.; Sirisopana,N.; Swierczewski,B.E.; Mason,C.J.",,,,6/23/08
EPI_ISL_205350,EPI684769 | A/Thailand/CU-B5928/2011,a/thailand/cu-b5928/2011,A / H3N2,,Asia / Thailand,Human,Initial import,Other Database Import,,"Tewawong,N.; Prachayangprecha,S.; Thongmee,T.; Vichiwattana,P.; Theamboonlers,A.; Poovorawan,Y.",,,,11/15/11
